	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
0	1.0	ltm	diff_vonmises	-0.0206712848885438	-1.1843773812261214	9.054978943792326	0.3711705836312742	2.2134582218857652e-17	2.8437736017151583	-0.0135305220073609	-0.4526006197559276	0.4390700977485666	45.13353176967087	near	V1
1	1.0	perception	diff_vonmises	0.0163030764610112	0.9340974742950238	13.93224317917713	0.6030463737898872	6.396365014508068e-19	2.96349952337995	0.4179942966650149	-0.4716555979956905	0.8896498946607054	36.30156320926472	near	V1
2	1.0	wm	diff_vonmises	0.0207724244683016	1.190172252287966	10.822402593160048	0.4333197965786068	3.147816796062792e-21	2.9628219842565144	0.0902503879912112	-0.4715477640721924	0.5617981520634037	41.240581909881286	near	V1
3	2.0	ltm	diff_vonmises	0.0145667473040907	0.8346131417579715	5.126188419060149	0.7966302952945735	0.219224033179997	2.063565936609955	0.2959441074007067	-0.3278249687616479	0.6237690761623547	56.81857992786237	near	V2
4	2.0	perception	diff_vonmises	-0.0019759443229371	-0.113213270257134	6.991623653339154	1.214827226710784	0.2671824172816699	2.5786342400686024	0.7301732252459261	-0.4297938498687498	1.159967075114676	49.32997189164851	near	V2
5	2.0	wm	diff_vonmises	0.0008518331560548	0.0488064446912493	5.74232848673813	0.854907892252098	0.1573909447069853	2.170895747761832	0.3958563797072585	-0.3464448294110905	0.7423012091183491	54.73004796727318	near	V2
6	3.0	ltm	diff_vonmises	-0.0375607123177081	-2.1520702913097227	1.537525883708462	58.84241761734803	1.4710993152166636	59.49334281110843	0.4044885258236164	-0.2918599183903687	0.6963484442139851	72.40443753079239	near	V3
7	3.0	perception	diff_vonmises	-0.0307629255231795	-1.7625857979534658	4.575711311505122	1.6384145502257883	0.2663313420019262	2.188281493093761	0.9082132387100535	-0.3294292804423099	1.2376425191523637	60.96557275386701	near	V3
8	3.0	wm	diff_vonmises	-0.0510056349876205	-2.922407616175466	2.6864757895242475	2.5077239125028346	0.8326567341400994	3.184401021463228	0.5546000553111562	-0.3293102408897144	0.8839102962008707	68.56679840857802	near	V3
9	4.0	ltm	diff_vonmises	-0.0929913484826603	-5.328011799286711	1.1443872437609472	341.8445394876123	1.1314042161545972	343.4433167560313	0.2411603741126953	-0.4470172759524473	0.6881776500651426	79.14567701064837	near	V4
10	4.0	perception	diff_vonmises	-0.0645739928243965	-3.6998172551459856	3.256104282542251	1.8972791566267784	0.0773014994864436	3.624625328487152	0.6792650048651715	-0.5448453941184559	1.2241103989836275	73.62782968785473	near	V4
11	4.0	wm	diff_vonmises	-0.1051265353698365	-6.023306791524403	1.113907864060591	356.7144568377911	1.0999918137865483	358.3799310021199	0.3281526112186554	-0.4890025367258843	0.8171551479445398	81.17411882415158	near	V4
12	5.0	ltm	diff_vonmises	-0.0526912524923739	-3.018986385071208	1.1692038640872686	3.149276925232004	0.3229668592447225	4.0466568286514	0.3092353773361156	-0.3417587625944804	0.6509941399305961	104.22892059030292	near	V3ab
13	5.0	perception	diff_vonmises	-0.0361179256216072	-2.069404702885513	1.815556863470863	2.434028602953364	0.1725809191724308	3.335727313670325	0.5578788967691275	-0.4139426383597404	0.971821535128868	93.99837915852572	near	V3ab
