	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	337	diff_vonmises	0.0103821625389707	0.5948540957018486	5.038266316381987	0.2822387110844045	0.0064322328851505	2.4720878282624645	-0.150274791434427	-0.3923590940014538	0.2420843025670268	60.294030680589145
1	1.0	perception	337	diff_vonmises	-0.0101552119496958	-0.5818507847783939	12.353511141555453	0.6511660468402197	0.0439993337005139	2.967851347088535	0.4098038436793481	-0.4807513907488971	0.8905552344282452	38.26570452085
2	1.0	wm	337	diff_vonmises	0.0715377953666476	4.0988137501794455	4.3484292354640806	0.4250919704573526	0.0304415368337434	2.7297684878827906	-0.1057805123016741	-0.4301781138916581	0.3243976015899839	63.68549323776455
3	2.0	ltm	337	diff_vonmises	-0.0193184923616831	-1.1068680788801613	3.115103807761828	0.7392256460888323	0.2938330842087978	1.930583378273407	0.0911745510286991	-0.2797427646014906	0.3709173156301897	68.25748755839331
4	2.0	perception	337	diff_vonmises	-0.0088953188879235	-0.5096642297010214	6.912654412075466	1.1999519087336892	0.2715210781642346	2.4090351981871936	0.739946571089324	-0.4003575885853349	1.140304159674659	49.66060280648625
5	2.0	wm	337	diff_vonmises	0.0724027829157484	4.148373886074287	4.395519043029633	0.595873638201303	0.2092156559219622	1.8922339882456956	0.1149821516346474	-0.2963017305008633	0.4112838821355107	60.24943274463493
6	3.0	ltm	337	diff_vonmises	0.0165417693233445	0.9477735679066196	1.8378449699362531	2.1820471766639917	0.8149049438261666	3.034520826309753	0.1393771006265917	-0.2423069192020416	0.3816840198286333	74.21354312037607
7	3.0	perception	337	diff_vonmises	-0.0134050866909321	-0.7680548913974007	4.576849445512549	1.7063421171450184	0.2292532641198107	2.5706062712344724	0.903332189964806	-0.3903404013958875	1.2936725913606937	61.04616908728738
8	3.0	wm	337	diff_vonmises	0.0016375577030099	0.0938251450916054	2.574884121933956	1.019346313777358	0.4526534825034591	2.0503013691153784	0.1234296299886427	-0.2644599621976677	0.3878895921863105	71.20902983086788
9	4.0	ltm	337	diff_vonmises	-0.1134731412343378	-6.501532080819471	1.0072801496654118	142.42123851172656	0.9885503406429248	143.87903191774916	0.0096956312116631	-0.3337919352966096	0.3434875665082728	80.07629844444827
10	4.0	perception	337	diff_vonmises	-0.0938078059642991	-5.374791367136494	2.1158142443207018	2.9188000275568764	0.3256776806374873	4.32819447475229	0.6284409472587609	-0.5091707888905959	1.1376117361493567	82.99129690078263
11	4.0	wm	337	diff_vonmises	-0.1022677916578802	-5.859512842119746	1.0436485400024151	306.34508337737947	1.0331527302418333	308.0039625377512	0.028837127894036	-0.3881098440855055	0.4169469719795415	78.92161282248841
12	5.0	ltm	337	diff_vonmises	0.0084326413208147	0.483154757830309	1.2407851103003642	2.175341352042788	0.2899369434745278	3.2406304422284635	0.1660848889972358	-0.310483470226894	0.4765683592241298	101.0878494336548
13	5.0	perception	337	diff_vonmises	-0.0526928536651108	-3.0190781255113013	1.956040176603998	2.7768419029957343	0.2870921997271408	3.7722806418120527	0.6296017470837421	-0.4343763497017147	1.0639780967854569	87.47463891923212
14	5.0	wm	337	diff_vonmises	0.0510053556365283	2.922391610536881	0.6841056018775987	169.98359150354594	0.6695490830009986	171.06453606158445	0.1697544411321345	-0.320402111521167	0.4901565526533016	104.0464032091074
15	6.0	ltm	337	diff_vonmises	-0.0978483443718161	-5.606297164847731	0.5026805644130646	202.2549693401374	0.4928091579456865	203.25060535888647	0.12869285126758	-0.3168010182914322	0.4454938695590122	120.84487486179378
16	6.0	perception	337	diff_vonmises	-0.0862172228689334	-4.939882991728691	0.615906208807425	175.58654602089447	0.5974083506214651	176.637298908539	0.3366161911637064	-0.4166320912048231	0.7532482823685296	112.9451248634601
17	6.0	wm	337	diff_vonmises	-0.1017947138311846	-5.832407479268868	0.590605222303058	141.2177925570629	0.5738687164199937	142.1930552875135	0.192355059183356	-0.3281066078767551	0.5204616670601112	113.44289980237365
18	7.0	ltm	337	diff_vonmises	0.0124266906437704	0.7119969272027549	0.7988587151465371	196.45278550797445	0.7833705981824235	198.0468863988767	0.1020804111913875	-0.3929907448741581	0.4950711560655456	93.1521926032535
19	7.0	perception	337	diff_vonmises	-0.0629241932682945	-3.605290703538784	2.3300943541787764	1.988447238072221	0.0637377243705333	3.462518989094097	0.5373826752864149	-0.506417493287998	1.043800168574413	87.09818235212671
20	7.0	wm	337	diff_vonmises	0.2096967002864365	12.014735904232577	2.6994982130796163	0.8632426265116996	0.1002487151279153	2.3261165270926423	0.1238637720062422	-0.3426593395635546	0.4665231115697968	78.4271166342098
0	1.0	ltm	95	diff_vonmises	0.0258711783318976	1.4823093294480385	5.497329675214719	0.275952268880219	9.435467267657625e-19	3.3980949239706386	-0.2892273436306217	-0.5408193780120624	0.2515920343814406	58.17833486439761
1	1.0	perception	95	diff_vonmises	0.0120689872900305	0.6915020347157848	11.477417117953388	0.7833844756131335	0.0584690002697989	3.9564307370083256	0.379561768446686	-0.6444415274956938	1.02400329594238	39.5358445030449
2	1.0	wm	95	diff_vonmises	0.0237923114765831	1.3631990324688883	5.178632739433896	0.3811274649866711	0.0194788683935511	3.671391679388053	-0.2590691617867395	-0.5823896803544909	0.3233205185677513	58.61626089667149
3	2.0	ltm	95	diff_vonmises	-0.0201102915794823	-1.152234832281815	3.1288590977894906	0.7434311535305548	0.1798610818173664	2.4644331151675334	0.0329421855489141	-0.3672510311092584	0.4001932166581725	69.88029007461105
