	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	0	diff_vonmises	-0.7147916032300139	-40.954542096469496	0.554740569459899	17.54189862651768	0.5157831868533727	17.544576993575216	0.1277079708199702	-0.07493621127493255	0.20264418209490276	121.82529852686724
1	1.0	perception	0	diff_vonmises	-0.10419501485726305	-5.969934597624081	13.971017973145365	0.8726742584259641	6.008620117250492e-18	1.3605725176985108	1.0727135280692128	-0.21654184162575862	1.2892553696949713	36.25020281363632
2	1.0	wm	0	diff_vonmises	0.08395369684783195	4.810192503901534	4.406709544329475	0.3983932709538221	1.687494489517333e-31	0.42230372258058946	0.255616416815405	-0.06716371035724358	0.3227801271726486	65.14270387760087
3	2.0	ltm	0	diff_vonmises	0.3152113199949589	18.0602782904588	0.1487005777041817	64.05958896190019	0.1321038836694779	63.864034108678226	0.21555447974251685	-0.12941553549523732	0.34497001523775417	161.93622134969792
4	2.0	perception	0	diff_vonmises	-0.0040757489723500665	-0.23352321447044128	8.440054725600898	1.2704934468567008	0.4869620083069834	1.4488453392899792	1.0953238917539192	-0.2569213539427212	1.3522452456966403	45.10247241110429
5	2.0	wm	0	diff_vonmises	-0.12186502626603067	-6.982351675294479	4.005912645705996	77.45826922770145	3.968153015862635	77.47142998606742	0.29740964610255105	-0.12214210019470784	0.4195517462972589	45.85291468705992
6	3.0	ltm	0	diff_vonmises	0.07428753894664585	4.256362452056536	1.860531734032909	59.45718214304633	1.8445790486081814	59.137210145027794	0.3103686394525802	-0.026925052722714504	0.3372936921752947	76.37666537354664
7	3.0	perception	0	diff_vonmises	0.0393430704423746	2.2541918894339616	2.0069537761593597	273.95674482597576	1.9831593190752637	273.71583977165733	1.141150408182341	-0.31405912196321495	1.4552095301455559	67.35096146704288
8	3.0	wm	0	diff_vonmises	-0.14292059528518855	-8.188746915338637	2.017298637303108	25.730348712383467	1.9595329066198752	25.591367612950112	0.3031990115238816	-0.06390344174819607	0.3671024532720777	68.89945003218844
9	4.0	ltm	0	diff_vonmises	-0.3156921381044547	-18.087827138846368	5.111910712150223	0.6440902602121396	0.19786198317681553	1.1964623426005452	0.3353026162316727	-0.1869260713122884	0.522228687543961	57.8932285302422
10	4.0	perception	0	diff_vonmises	-0.04595979610660519	-2.63330234419027	2.1055679808061556	3.5935303228305653	0.5863507568873312	4.037947490987649	0.8503044126935948	-0.37276520547238856	1.2230696181659835	80.36531722389194
11	4.0	wm	0	diff_vonmises	-0.48579745589117285	-27.834143920756976	2.28071522237288	105.98493170667179	2.2509084550011966	106.4004841320132	0.23192118232331893	-0.21198511093266603	0.44390629325598496	57.73715582874978
12	5.0	ltm	0	diff_vonmises	-0.14544883551015297	-8.333604409824304	2.45667383210954	0.3520652860266753	6.469890517534274e-10	0.05614767202487444	0.19642579697016274	-0.007427085071075041	0.20385288204123778	87.74594768896218
13	5.0	perception	0	diff_vonmises	0.03318133017295951	1.9011501775406738	1.4991499066234388	169.75179173639103	1.4796234930685226	169.4724993896496	0.7011029828840236	-0.16984522664476387	0.8709482095287875	79.15069293235521
14	5.0	wm	0	diff_vonmises	0.05182274571931089	2.9692246124961676	1.1381645360479076	46.874141945583034	1.1171147279420468	46.47447105777818	0.32947472226851104	-0.041676431245874834	0.3711511535143859	96.42005965746182
15	6.0	ltm	0	diff_vonmises	-0.5417554685345618	-31.04030187516286	2.602468621232375	0.6458858133739167	5.1340972389675086e-14	0.846528506777979	0.25499178177122706	-0.13258986120558733	0.3875816429768144	85.0995145631183
16	6.0	perception	0	diff_vonmises	0.2400102658263093	13.751575271660494	1.6464750806952684	1.5468677553312697	1.0454157777052552e-14	1.442651392382717	0.4794348271542384	-0.20326763048482546	0.6827024576390639	105.92285465095645
17	6.0	wm	0	diff_vonmises	-0.1584877237620467	-9.080677676200526	7.380306096907584	0.34900241906731144	0.24755454838581367	0.19713282111108033	0.331808003555418	-0.03145757285041166	0.3632655764058297	49.439232109236826
18	7.0	ltm	0	diff_vonmises	0.16173314055951188	9.266626361456144	1.9716055425116885	154.51912517538497	1.9537526182599139	154.7435727744996	0.31980842215867256	-0.1689851420547832	0.48879356421345577	64.57019648295037
19	7.0	perception	0	diff_vonmises	0.07984017354868757	4.57450497993183	0.3147335766428273	6.4018078027491425	1.7501152549851598e-10	6.287559130715522	0.36111510894930454	-0.2750074555665083	0.6361225645158128	161.99742938962999
20	7.0	wm	0	diff_vonmises	-0.5035876543184329	-28.85344720733925	0.0001625063500837529	6583.424805409812	8.439928088451803e-32	6583.47436420218	0.1623904843731907	-0.17815170300036698	0.3405421873735577	172.87428910992065
0	1.0	ltm	1	diff_vonmises	0.14559426468379374	8.341936887691995	5.673554134705864	0.45746757437227487	1.1030649279226375e-16	3.587364049870703	-0.1468036845405989	-0.5709417137920124	0.42413802925141353	57.24257441698043
1	1.0	perception	1	diff_vonmises	-0.075241730859768	-4.31103362152395	8.236632835069253	1.1373713727930486	0.06444205148172753	4.251706267834765	0.5601169125807398	-0.6853738650539157	1.2454907776346555	46.59795224602124
2	1.0	wm	1	diff_vonmises	0.12717587131785238	7.2866406824118	1.2079367039801516	3.017275020079544	0.3450313681082985	6.757467723349044	-0.32604147063821465	-0.7052492317936656	0.37920776115545096	86.59287281224329
3	2.0	ltm	1	diff_vonmises	-0.0027593092995767	-0.1580967772369442	1.1880354311078838	128.49754068066278	1.1619320216481854	129.76874679299286	0.14884654644409068	-0.3441035104200303	0.49295005686412097	77.07742093981906
