	subj	task	event_id	tertile	ang_dist
1247	142	perception	109	center	1.9101724544231
1248	142	perception	110	counter	-4.739562220120015
1249	142	perception	111	center	0.2318598197482204
1250	142	perception	144	clock	5.174304146665024
1251	142	perception	145	counter	-3.81781689609017
1252	142	perception	146	counter	-4.902357913260853
1253	142	perception	147	center	-0.8278261646353607
1254	142	perception	148	center	-1.004442237510003
1255	142	perception	149	center	-0.2651248267205382
1256	142	perception	150	clock	2.997681834110294
1257	142	perception	151	counter	-2.7905705094124973
1258	142	perception	152	counter	-2.1924077934067485
1259	142	perception	153	counter	-2.4922770180772296
1260	142	perception	154	clock	3.6355288092044615
1261	142	perception	155	clock	4.526046539610626
1262	142	perception	156	clock	6.569138611088259
1263	142	perception	157	counter	-3.4626350309165184
1264	142	perception	158	clock	4.296674450118921
1265	142	perception	159	center	-1.255656723874192
1266	142	wm	32	counter	-12.48451028167825
1267	142	wm	33	center	-2.2020024638625184
1268	142	wm	34	counter	-4.958116422514708
1269	142	wm	35	center	-3.376857850385435
1270	142	wm	36	center	-4.127884282448791
1271	142	wm	37	center	3.041264580389476
1272	142	wm	38	clock	10.308549718478252
1273	142	wm	40	center	3.3274478319886818
1274	142	wm	41	center	-1.6990244783831758
1275	142	wm	42	clock	5.520884183211409
1276	142	wm	43	clock	7.474787315147465
1277	142	wm	44	counter	-12.866175095467453
1278	142	wm	45	counter	-6.201156875444376
1279	142	wm	46	center	-2.189691360877238
1280	142	wm	47	center	-1.3399339558705663
1281	142	wm	80	center	0.9596644402843103
1282	142	wm	81	clock	7.730998573264109
1283	142	wm	82	counter	-8.581714624961041
1284	142	wm	83	center	3.994469209819964
1285	142	wm	84	center	4.040504919329673
1286	142	wm	85	clock	15.480774726307725
1287	142	wm	86	center	-3.073032510318336
1288	142	wm	87	center	0.682288045372976
1289	142	wm	88	center	-0.5806285691063987
1290	142	wm	89	clock	9.764968544930449
1291	142	wm	90	clock	5.336101358826631
1292	142	wm	91	center	0.6058217372859863
1293	142	wm	92	clock	4.446302938113597
1294	142	wm	93	clock	7.144840746065452
1295	142	wm	94	center	1.8207093647122645
1296	142	wm	95	counter	-5.947810907345557
1297	142	wm	128	clock	5.18196588024598
1298	142	wm	129	center	1.1289858721086792
1299	142	wm	130	clock	13.696938691462783
1300	142	wm	131	clock	4.825068045660432
1301	142	wm	132	clock	9.780579279874196
1302	142	wm	133	center	-2.628465570232108
1303	142	wm	134	counter	-7.318674342152866
1304	142	wm	135	clock	19.16989720399798
1305	142	wm	136	center	0.4062543581745746
1306	142	wm	137	counter	-9.198033718686204
1307	142	wm	138	counter	-4.92524351231238
1308	142	wm	139	clock	9.425489115051551
1309	142	wm	140	clock	9.17433284798967
1310	142	wm	141	center	-0.23387959849905088
1311	142	wm	142	counter	-8.682650145218549
1312	142	wm	143	clock	7.561983074850682
1313	142	wm	176	center	3.8028634575441536
1314	142	wm	177	center	-0.5302546223514032
1315	142	wm	178	counter	-4.705798784411251
1316	142	wm	179	clock	15.3108293044078
1317	142	wm	180	clock	10.75348161416042
1318	142	wm	181	center	-1.505583852482339
1319	142	wm	182	center	-0.8785367139385584
1320	142	wm	183	counter	-4.452884531283373
1321	142	wm	184	clock	5.426600442245273
1322	142	wm	185	clock	6.189577042028247
1323	142	wm	186	clock	5.79159224487516
1324	142	wm	187	counter	-8.372243247993397
1325	142	wm	188	counter	-5.45682374298669
1326	142	wm	189	clock	6.757909268585236
1327	142	wm	190	clock	4.800632387309489
1328	142	wm	191	center	1.246573648670919
