	roi	task	n_boot	l	k	x0	c	k2	x2	c2	risetime	risetime_l
0	V1	ltm	0	0.18278814234089902	4.999999993429878	7.037193523183688e-11	1.0092755940803804				0.5894589458945895	7.128112811281128
1	V1	perception	0	0.980784026462149	3.667478531567261	2.718045625337991	1.1946697583966612				3.316931693169317	3.316931693169317
2	V2	ltm	0	0.19065028917874197	1.7885162634575271	2.9491212941545557	1.0753903720710716				4.180818081808181	4.2102210221022105
3	V2	perception	0	1.405390741421968	1.2748311572895838	2.3986006677023606	0.9785755994118532				4.162616261626162	4.627462746274627
4	V3	ltm	0	0.1785117622859564	1.8428868979206028	2.945326807920987	1.1177557168303611				4.14021402140214	4.164016401640164
5	V3	perception	0	1.5169437310444187	1.2746562727722905	2.427026686626111	1.0933785094001585				4.189218921892189	4.634463446344634
6	V3	wm	0	0.5729054101696424	3.2376342596680954	1.8456863616140922	1.0398496014589944	-21.867076918879643	5.123189443979469	1.951965898767681	2.5244524452445245	2.149214921492149
7	V4	ltm	0	0.11509772612150793	1.4884660181005558	6.087470354028347	1.213881498980772				7.563556355635563	7.5649564956495645
8	V4	perception	0	0.9811261963678447	1.8989080482747336	2.842130588482884	1.2480405446072969				4.001600160016001	4.026802680268027
9	V3ab	ltm	0	0.22112313976603376	4.9999946661129595	2.563871790987887	1.1289224981743826				3.003300330033003	3.003300330033003
10	V3ab	perception	0	1.1655302219249526	1.4327361697847867	3.0743365491839603	1.0935587902666644				4.617661766176617	4.707270727072707
11	V3ab	wm	0	431.51016605882427	4.999972774596886	9.839443258053509	1.001044169771827	-4.786326406200337	7.165880521873991	1.0006776033153222	6.559655965596559	9.424342434243425
12	IPS0	ltm	0	0.16415950330773765	4.999999999999999	4.246775485585135	1.1591326370667652				4.686268626862686	4.686268626862686
13	IPS0	perception	0	0.5634278196170633	1.6580637968991068	3.300997260440483	1.221592139753819				4.628862886288629	4.654065406540654
14	IPS0	wm	0	1.3041913534711354	1.2973671130903923	4.763670688233927	1.090585124797962	-1.0249054437606704	4.452551996308364	1.2706679733780566	4.525252525252525	5.151115111511151
15	LO1	perception	0	0.6148388649301139	0.967732016925324	3.3641970262888616	1.123710428277124				5.6775677567756775	6.156415641564156
16	LO1	wm	0	0.8610693408043696	4.999999999999999	2.3240965579495865	1.3021176561064434	-0.15315151479571076	4.740110973232998e-12	1.092797735189522	2.67006700670067	3.1055105510551053
17	V1	perception	1	0.7957244479410773	2.189449886325049	2.7568490616817574	1.1331547952908616				3.762176217621762	3.771977197719772
18	V1	wm	1	16.47599589897454	0.5953934153315651	14.99999999999996	1.0053118363410327	-0.9036022882706687	4.928023743868083	1.0267253681362476	4.453845384538454	5.375137513751375
19	V2	ltm	1	0.2285070077691855	1.8947684440185202	3.3704882085915857	1.1104897757759802				4.5308530853085305	4.540654065406541
20	V2	perception	1	1.263693316565049	1.4026069266138514	2.572251181707224	1.0211102721290994				4.15981598159816	4.378237823782378
