	param	roi	task	value	68_ci_lower	68_ci_upper	95_ci_lower	95_ci_upper	experimenter
12	amp	V3ab	ltm	0.480984802692747	0.4013510859260064	0.564000732113941	0.3413181357549108	0.6787424951548499	rob
15	amp	IPS0	ltm	0.3982563472330955	0.3289913028320646	0.46206530451357436	0.262429395853629	0.5314193289917593	rob
18	amp	LO1	ltm	0.4455228054532618	0.38381274674380494	0.5112288156903803	0.3296330362570693	0.5880059020663954	rob
0	fwhm	V1	ltm	62.94603657416769	52.75382171303181	85.95702594178881	48.83552127683949	112.07657622475728	rob
3	fwhm	V2	ltm	68.16490990161046	63.46626976935756	72.56832963458933	58.31596192633261	75.8249904570756	rob
6	fwhm	V3	ltm	73.8307940914793	68.75799495015664	78.72411934100442	64.99700162224121	83.55755233143714	rob
9	fwhm	V4	ltm	80.16040850245281	73.33373265460934	90.00428685987228	66.41389258283866	95.76555729552604	rob
12	fwhm	V3ab	ltm	101.92739318735846	93.74093617342338	110.7103861079952	84.23113561026163	114.32209799606987	rob
15	fwhm	IPS0	ltm	129.04781532924167	120.88125475128375	135.7744323353005	113.9752435891851	142.53171767344182	rob
18	fwhm	LO1	ltm	92.09147991531702	85.97345168389327	98.73418722706491	81.07783943582437	108.66385026791006	rob
0	loc	V1	perception	0.115	-2.068	2.2356	-4.4519	4.7342	serra
1	loc	V1	ltm	-0.5685	-5.6453	5.4075	-10.2504	10.5421	serra
2	loc	V2	perception	-0.3752	-2.4409	1.4136	-4.6494	2.9055	serra
3	loc	V2	ltm	1.6062	-1.4616	3.9098	-5.2398	5.7924	serra
4	loc	V3	perception	1.3366	0.2122	2.3939	-0.6424	3.3081	serra
5	loc	V3	ltm	-2.0526	-5.1675	1.1604	-8.479	3.9561	serra
6	loc	V4	perception	-0.0809	-1.6213	1.5286	-3.6649	2.5987	serra
7	loc	V4	ltm	-2.409	-7.0328	3.6615	-12.0333	9.2387	serra
8	loc	LO1	perception	3.459	0.8771	5.6268	-1.3874	8.0882	serra
9	loc	LO1	ltm	1.0364	-3.2397	7.8872	-8.483	12.1246	serra
10	loc	V3ab	perception	2.3664	1.0399	3.5913	-0.6387	4.8522	serra
11	loc	V3ab	ltm	0.3682	-3.6353	5.6806	-8.8789	10.6026	serra
12	amp	V1	perception	1.1033	1.0462	1.1892	0.9883	1.2562	serra
13	amp	V1	ltm	0.2423	0.2039	0.2724	0.1784	0.3001	serra
14	amp	V2	perception	1.2382	1.1126	1.3715	1.0255	1.495	serra
15	amp	V2	ltm	0.3589	0.3064	0.3972	0.2577	0.4431	serra
16	amp	V3	perception	1.0678	0.9951	1.1424	0.9217	1.2143	serra
17	amp	V3	ltm	0.3098	0.2711	0.3497	0.2326	0.3878	serra
18	amp	V4	perception	1.0063	0.9227	1.1235	0.8319	1.2527	serra
19	amp	V4	ltm	0.2497	0.2088	0.2759	0.1824	0.3105	serra
20	amp	LO1	perception	0.5681	0.4924	0.6483	0.4302	0.7588	serra
21	amp	LO1	ltm	0.2317	0.2054	0.2855	0.1715	0.3316	serra
22	amp	V3ab	perception	0.5329	0.5036	0.5573	0.4801	0.5801	serra
23	amp	V3ab	ltm	0.1666	0.1386	0.1909	0.122	0.2201	serra
24	fwhm	V1	perception	38.0	35.0	41.0	32.0	45.0	serra
25	fwhm	V1	ltm	131.0	92.84	173.16	66.9	225.05	serra
26	fwhm	V2	perception	51.0	48.0	54.0	45.0	57.0	serra
27	fwhm	V2	ltm	101.0	91.0	113.0	83.0	135.0	serra
28	fwhm	V3	perception	60.0	57.0	64.0	54.0	67.0	serra
29	fwhm	V3	ltm	100.0	88.0	109.0	72.95	121.0	serra
30	fwhm	V4	perception	94.0	87.0	101.0	81.475	110.0	serra
31	fwhm	V4	ltm	79.0	64.0	121.0	50.0	167.0	serra
32	fwhm	LO1	perception	97.0	87.0	115.0	76.0	133.525	serra
33	fwhm	LO1	ltm	94.0	57.0	116.0	37.0	153.0	serra
34	fwhm	V3ab	perception	97.0	87.0	113.0	78.0	132.525	serra
35	fwhm	V3ab	ltm	101.0	84.0	119.0	68.0	153.0	serra
