	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	tertile	roi_labels
0	1.0	ltm	diff_vonmises	0.0577632520423214	3.3095905529754543	0.8448095239606038	95.9866853005722	0.813606069044475	98.2076152754688	-0.1083786227290559	-0.4574632233033799	0.349084600574324	84.2891950546595	counter	V1
1	1.0	perception	diff_vonmises	0.0264426746273967	1.515053655187502	11.742471789802384	0.665388528700904	2.511895416891304e-17	2.9083950177627296	0.4362853452846612	-0.4628854434839166	0.8991707887685778	39.58609250764002	counter	V1
2	1.0	wm	diff_vonmises	0.1416738421446651	8.117313222291964	4.457854714868075	0.4027016292956024	3.698256702438389e-15	2.7050963477017373	-0.10216788874648	-0.4304853676187102	0.3283174788722302	64.75762158308336	counter	V1
3	2.0	ltm	diff_vonmises	0.0284786110118452	1.631704217373522	3.691447161199858	0.5676129499167184	0.0857132668650605	1.7975491100028362	0.1064524631610254	-0.2759560745145303	0.3824085376755557	68.08641453952146	counter	V2
4	2.0	perception	diff_vonmises	-0.0378450677977629	-2.1683626601982766	8.181203715396173	1.0444210801458729	0.0573935819874311	2.186558599198261	0.8041356532543152	-0.3502038423706325	1.1543394956249478	47.0845778904864	counter	V2
5	2.0	wm	diff_vonmises	0.0464007963592069	2.6585697974285543	5.571869447568239	0.4616874471552701	0.0578796709831709	1.8594500367182396	0.1106749156684844	-0.2946069689516229	0.4052818846201074	56.33398866720222	counter	V2
6	3.0	ltm	diff_vonmises	0.1493473919561549	8.55697524037374	2.585635935050213	0.7790839525029534	0.2895497202739887	1.494191040657824	0.1571651889129021	-0.1990838918054345	0.3562490807183367	75.71980089824353	counter	V3
7	3.0	perception	diff_vonmises	0.0227866611402357	1.305579512530266	4.877824453447971	1.7861209555080042	0.195671537145496	2.5335488202306413	1.042677772265478	-0.3885271949591308	1.431204967224609	59.69578460810146	counter	V3
8	3.0	wm	diff_vonmises	-0.0089770043962681	-0.514344464576552	3.1911569899060086	0.781817718552901	0.2919696794427282	1.7844386698394954	0.1579375601130991	-0.2565463274825895	0.4144838875956887	68.57128955118998	counter	V3
9	4.0	ltm	diff_vonmises	0.0645402235237801	3.697882416743554	0.8285555944885787	140.4761132090216	0.8138900987071476	141.886891871493	-0.0387800207647401	-0.3000132357812326	0.2612332150164924	86.46836336712897	counter	V4
10	4.0	perception	diff_vonmises	-0.0638203710040048	-3.656637905488571	2.789379328876314	2.324754169340799	0.1657563875151388	3.9634748193135594	0.7208401034577839	-0.5574005477963787	1.2782406512541626	77.12055865469	counter	V4
11	4.0	wm	diff_vonmises	0.0436799956056589	2.50267939735424	0.980642548454666	204.2700731188444	0.9658412862470352	206.270932077651	-0.0975934539577139	-0.4242105920073342	0.3266171380496203	77.64095733310774	counter	V4
12	5.0	ltm	diff_vonmises	0.1518922064043681	8.70278236790027	1.7196243199089534	1.1724165008432583	0.1013544982704967	2.241057747932102	0.1581012268077875	-0.303808117322841	0.4619093441306285	97.40279654655376	counter	V3ab
13	5.0	perception	diff_vonmises	0.0123273229612155	0.706303578372361	2.5631243404211417	1.926582970724465	4.790140957095552e-19	2.77297396032272	0.7108060706325023	-0.4344897347875309	1.1452958054200333	85.91577519260099	counter	V3ab
14	5.0	wm	diff_vonmises	0.0437144806372138	2.5046552441187107	0.6144926299189234	151.80589868073704	0.5986848842258465	152.95016234899597	0.1508710806813198	-0.3380183538901491	0.4888894345714689	109.52211572379724	counter	V3ab
15	6.0	ltm	diff_vonmises	0.3615163148491642	20.713359065979763	0.6474026192134452	121.56795979640602	0.633687460253574	122.47940247251972	0.0688128586358018	-0.2384991685320017	0.3073120271678036	104.5966475040801	counter	IPS0
16	6.0	perception	diff_vonmises	-0.0921230717852826	-5.278263209077411	1.5908934438140356	1.8132603106260503	0.0732938074425107	2.631288477071398	0.3639346648819971	-0.3548745796879557	0.718809244569953	103.899476243235	counter	IPS0
