	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	diff_vonmises	-0.028089253717522	-1.6093956876861737	4.712033380010651	0.2950488694625901	5.885547222631177e-19	2.6048390210291528	-0.1667373651589964	-0.4145529873259932	0.2478156221669967	62.94603657416769
1	1.0	perception	diff_vonmises	-0.0238400054311413	-1.3659316947733575	13.60936357499012	0.7019626597290313	0.0298426064573166	3.1531309332754702	0.5060738833283795	-0.5081309909180254	1.014204874246405	36.55186607757355
2	1.0	wm	diff_vonmises	0.0172391231072414	0.9877289965513862	4.902244080219421	0.366286308611379	5.278181282059018e-16	2.846045707440312	-0.1386705642927096	-0.4529448926687285	0.3142743283760189	61.67850383611554
3	2.0	ltm	diff_vonmises	-0.0186505511478591	-1.068597866365201	3.4638234069447824	0.6020350956862441	0.1500513076175076	1.8892717977259563	0.0801642209929223	-0.2856188295566307	0.3657830505495531	68.16490990161046
4	2.0	perception	diff_vonmises	-0.0244200781087187	-1.3991674110093957	7.239411984046516	1.2447813098205822	0.2582019198043995	2.5470552388337158	0.7950249883312198	-0.4250910921106671	1.220116080441887	48.66341031886881
5	2.0	wm	diff_vonmises	0.0250480325009618	1.4351465474116305	4.032973857085066	0.6324345283407088	0.1627712728202223	2.071456350186891	0.1029772506340699	-0.3199369229472787	0.4229141735813487	63.38729385586248
6	3.0	ltm	diff_vonmises	0.019276584137626	1.1044669145148027	2.52843177107258	0.9531470374702552	0.393786461538582	1.793367812733937	0.1582635889313272	-0.2296236627317544	0.3878872516630816	73.8307940914793
7	3.0	perception	diff_vonmises	-0.0165930235957952	-0.9507102214000572	4.325828798102172	1.966311478457802	0.2818594159456523	2.75729118200208	1.0071860984599663	-0.4105869847265025	1.4177730831864688	62.27300991754643
8	3.0	wm	diff_vonmises	-0.0601095480843601	-3.4440234136725167	2.9251411967465173	0.9105025883444866	0.3307899140283186	1.931547936231598	0.1712746534041812	-0.2677278920180234	0.4390025454222046	70.51345865619095
9	4.0	ltm	diff_vonmises	-0.122982381405955	-7.046371409029395	1.7433502807272472	1.6259102171887003	0.4376787338585712	3.183499482321511	0.0230777971729814	-0.3491983815160917	0.3722761786890731	80.16040850245281
10	4.0	perception	diff_vonmises	-0.0796461821756598	-4.563390092995391	2.1889977272153622	2.969451756397333	0.3028985446762819	4.499913935685418	0.6696498442086947	-0.5454551338103065	1.215104978019001	82.3426913350842
11	4.0	wm	diff_vonmises	-0.1148665088133614	-6.581366162407884	0.9800422539902178	321.73843059363816	0.9699599648515982	323.5162775020065	0.0174891872596418	-0.4071840740732071	0.424673261332849	81.2095176466812
12	5.0	ltm	diff_vonmises	-0.0031565581266239	-0.1808574584432764	1.563233023431635	1.3102550584217434	0.1053855845791066	2.250322480722044	0.1850821757376333	-0.2959026269551137	0.480984802692747	101.92739318735846
13	5.0	perception	diff_vonmises	-0.0303265287608587	-1.737582105279311	2.02088914149746	2.605980605764328	0.2121511765655895	3.4343902415881824	0.6845856948734018	-0.4226872672609513	1.1072729621343531	88.77919494669123
14	5.0	wm	diff_vonmises	0.0095170307928044	0.5452856979237409	0.6489565886619922	122.85199119697432	0.6296360035418587	123.85539754457112	0.1786529622345014	-0.3141270795227875	0.4927800417572889	107.67648456006012
15	6.0	ltm	diff_vonmises	-0.1115770468589124	-6.392893875549102	0.4343192434599596	133.11009968262857	0.421885987159768	133.90751767903436	0.1202067731641491	-0.2780495740689463	0.3982563472330955	129.04781532924167
16	6.0	perception	diff_vonmises	-0.044086595211471	-2.5259758387189577	0.7485344069803717	5.934004180498917	0.2913168687166556	6.768248665328088	0.3320874958793287	-0.3979841120119958	0.7300716078913245	122.94451601717743
17	6.0	wm	diff_vonmises	-0.0795811567247381	-4.559664409096646	0.4803078306303913	163.11701251240393	0.4678431063092098	163.94649570564877	0.1787006079505531	-0.3128562230252889	0.491556830975842	124.94426992106092
18	7.0	ltm	diff_vonmises	0.0620814153179518	3.557003083917459	0.8357284191307492	177.0222891880351	0.8207386051396856	178.27125361879635	0.1223685683480368	-0.3231542371052249	0.4455228054532618	92.09147991531702
19	7.0	perception	diff_vonmises	0.0038928522785468	0.2230440058286176	1.110015534844862	6.061869754149782	0.4893410186395236	7.193336142731033	0.4363142848886108	-0.4334354020123017	0.8697496869009125	99.6932132387436
20	7.0	wm	diff_vonmises	0.1218841393240372	6.9834467728518455	0.8073072277972939	61.96529707466824	0.7696522217140714	63.197215823588586	0.0786620046400905	-0.3037048836497069	0.3823668882897975	93.31151656659672
