	wlsubj	run	task	trial_id	cond	sacc_idx	sacc_label	index	event	eye	start_time	end_time	duration	x_start	y_start	x_end	y_end	amp_deg	peak_v	trial_start	trial_end	target_x	target_y	sac_x_deg	sac_y_deg	sac_ang	sac_ecc	target_theta	sacc_theta	ang_dist	fix_duration	x_centered	y_centered
16	114	1	perception	3	5	2	response	335	ESACC	R	504140	504186	47	841.0	297.4	807.3	268.5	1.16	104	487054	505090	-4.056824281098004	5.704575072018393	-3.4704545454545466	6.170454545454546	119.35474762602614	7.079446592042826	2.188968210360036	2.0831333239610417	6.063892315908899	375	-0.7478544766912312	7.039835064209933
17	114	1	perception	3	5	3	last	336	ESACC	R	504561	504576	16	801.1	271.6	798.3	255.7	0.58	64	487054	505090	-4.056824281098004	5.704575072018393	-3.675000000000001	6.461363636363637	119.62972060730772	7.433360279262827	2.188968210360036	2.0879325078384303	5.788919334627299	514	-0.7497576427622995	7.395451880611613
18	114	1	perception	4	8	0	first	419	ESACC	R	523023	523061	39	977.6	546.3	811.4	542.9	2.29	114	505090	524126	-6.927192453314023	-1.006978011055485	-3.377272727272728	-0.0659090909090903	-178.88198740602553	3.377915789750335	-2.9972378221529405	-3.122079652746176	7.152909999679597	50	-0.42061063093582635	3.3516267363458594
19	114	1	perception	4	8	1	response	420	ESACC	R	523111	523161	51	784.5	547.2	650.3	571.2	2.06	172	505090	524126	-6.927192453314023	-1.006978011055485	-7.038636363636365	-0.7090909090909101	-174.24728031396324	7.074264044892551	-2.9972378221529405	-3.0411887541241573	2.5182029076173182	123	-0.310820407404174	7.067432521871053
20	114	1	perception	4	8	2	corrective	421	ESACC	R	523284	523349	66	646.2	583.5	695.5	604.1	1.03	126	505090	524126	-6.927192453314023	-1.006978011055485	-6.011363636363637	-1.4568181818181822	-166.37734511885415	6.185370804040052	-2.9972378221529405	-2.903832473050921	-5.35173228749179	165	0.5769069880949784	6.1584080987344665
21	114	1	perception	4	8	3	corrective	422	ESACC	R	523514	523544	31	677.2	606.0	674.4	599.4	0.25	66	505090	524126	-6.927192453314023	-1.006978011055485	-6.490909090909091	-1.3499999999999994	-168.2509394520257	6.629811522694011	-2.9972378221529405	-2.9365328630114726	-3.478137954320216	204	0.40221529795261834	6.617599540659677
22	114	1	perception	4	8	4	corrective	423	ESACC	R	523748	523782	35	679.7	601.2	675.1	598.3	0.13	46	505090	524126	-6.927192453314023	-1.006978011055485	-6.475	-1.324999999999999	-168.43504348529223	6.609179222868751	-2.9972378221529405	-2.939746084558175	-3.294033921053667	83	0.37976391129383136	6.598259571408115
23	114	1	perception	4	8	5	corrective	424	ESACC	R	523865	523882	18	682.0	598.5	676.4	597.4	0.09	52	505090	524126	-6.927192453314023	-1.006978011055485	-6.445454545454546	-1.304545454545454	-168.55803193867817	6.576148047337124	-2.9972378221529405	-2.9418926380116948	-3.171045467667759	100	0.36377234702885997	6.566078953228707
24	114	1	perception	4	8	6	last	425	ESACC	R	523982	523996	15	680.3	595.0	677.8	591.6	0.13	76	505090	524126	-6.927192453314023	-1.006978011055485	-6.413636363636365	-1.1727272727272733	-169.63798996148648	6.519970909533036	-2.9972378221529405	-2.960741461293028	-2.0910874448594456	130	0.2379023891920324	6.515629141869092
25	114	1	perception	5	1	0	first	503	ESACC	R	538951	539080	130	976.5	516.7	1191.4	293.3	8.87	322	524126	540153	5.1811903943662845	4.706938080889374	5.259090909090912	5.6068181818181815	46.83293528032497	7.6872912858854	0.7374731015764034	0.8173889190150841	-4.578839055574389	69	0.6136824622479247	7.662756759129115
26	114	1	perception	5	1	1	corrective	504	ESACC	R	539149	539192	44	1188.3	299.2	1237.0	281.0	0.94	85	524126	540153	5.1811903943662845	4.706938080889374	6.295454545454546	5.886363636363637	43.07661082248036	8.618702036466306	0.7374731015764034	0.7518286894525048	-0.8225145977297813	78	0.12372228485230866	8.617813968148731
27	114	1	perception	5	1	2	corrective	505	ESACC	R	539270	539370	101	1238.4	286.8	1195.2	305.0	0.89	116	524126	540153	5.1811903943662845	4.706938080889374	5.345454545454547	5.340909090909091	44.97562918925661	7.556400877062839	0.7374731015764034	0.7849728125085957	-2.721532964506036	137	0.3587919027626502	7.547878018714134
28	114	1	perception	5	1	3	corrective	506	ESACC	R	539507	539587	81	1194.7	299.6	1189.5	306.9	0.28	82	524126	540153	5.1811903943662845	4.706938080889374	5.215909090909091	5.297727272727273	45.44587255193249	7.434488677832958	0.7374731015764034	0.7931801074729397	-3.191776327181916	362	0.4139389329956799	7.4229560459817385
29	114	1	perception	5	1	4	response	507	ESACC	R	539949	539971	23	1187.6	315.9	1183.0	328.4	0.47	66	524126	540153	5.1811903943662845	4.706938080889374	5.068181818181818	4.8090909090909095	43.49741799412204	6.986688937833828	0.7374731015764034	0.7591731601136571	-1.2433217693714649	182	0.15159966042069944	6.985044012532056
30	114	1	perception	6	13	0	first	585	ESACC	R	555073	555305	233	968.7	539.8	1090.7	797.2	9.8	298	540153	556189	3.3355017733414143	-6.154220334050145	2.9704545454545466	-5.845454545454547	-63.06192313091424	6.556900109776478	-1.074126648222742	-1.1006381912740246	1.5189995252178754	157	-0.1738131767631744	6.55459594705656
31	114	1	perception	6	13	1	response	586	ESACC	R	555462	555499	38	1088.1	805.7	1129.8	799.9	0.61	93	540153	556189	3.3355017733414143	-6.154220334050145	3.859090909090908	-5.906818181818181	-56.84228212114351	7.055712839797687	-1.074126648222742	-0.9920849773614604	-4.700641484552859	690	0.5782133176307831	7.031980733548717
32	114	1	perception	7	15	0	first	670	ESACC	R	573974	574089	116	994.2	552.5	1281.5	510.1	4.26	231	556189	575225	6.997686199326109	-0.1799662628408732	7.306818181818182	0.679545454545454	5.31331298129139	7.338349539708649	-0.025712299188996	0.0927348057124906	-6.786519206398511	209	0.8671752300752963	7.286932213715591
33	114	1	perception	7	15	1	response	671	ESACC	R	574298	574315	18	1297.6	523.9	1271.6	544.5	0.86	95	556189	575225	6.997686199326109	-0.1799662628408732	7.081818181818179	-0.1022727272727272	-0.8273847422224776	7.082556633806351	-0.025712299188996	-0.014440587932547	-0.6458214828846277	135	0.07983084287093682	7.082106713937659
34	114	1	perception	7	15	2	corrective	672	ESACC	R	574450	574479	30	1278.0	532.7	1289.6	536.0	0.2	97	556189	575225	6.997686199326109	-0.1799662628408732	7.490909090909088	0.0909090909090909	0.695302996470336	7.491460703432565	-0.025712299188996	0.0121353265873898	-2.1685092215774566	327	0.28346631503135117	7.486095799501693
35	114	1	perception	7	15	3	corrective	673	ESACC	R	574806	574830	25	1279.4	537.0	1282.1	527.4	0.37	78	556189	575225	6.997686199326109	-0.1799662628408732	7.320454545454543	0.2863636363636369	2.2401705032088906	7.326053431711886	-0.025712299188996	0.0390983510870533	-3.7133767283160113	335	0.4744739590017998	7.310672564581638
36	114	1	perception	7	15	4	last	674	ESACC	R	575165	575183	19	1277.6	516.8	1273.9	531.4	0.56	99	556189	575225	6.997686199326109	-0.1799662628408732	7.134090909090912	0.1954545454545459	1.569354804748989	7.136767866374275	-0.025712299188996	0.0273904084748626	-3.0425610298561097	42	0.378803607856995	7.126707753597516
37	114	1	perception	8	9	0	first	765	ESACC	R	592155	592203	49	985.5	521.6	720.6	653.7	6.19	338	575225	593252	-6.208602329619199	-3.2331497201099526	-5.4409090909090905	-2.5840909090909103	-154.5952110482542	6.023372606935709	-2.661480636262944	-2.69819544060755	2.1036033345945246	30	-0.2210972666123982	6.019313379504344
