	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
2	3.0	ltm	493	diff_vonmises	0.0467505535322603	2.678609407298944	3.819369386673903	0.5587703508456006	0.1027049049276341	1.4547359280847263	0.1629600195244647	-0.2222867988508449	0.3852468183753096	67.05146437227566	near	V3
3	4.0	ltm	493	diff_vonmises	-0.1015231783345615	-5.8168496413243735	2.308554631500894	1.1667496640327706	0.1496584871743265	3.2406642812856514	0.0603072498199157	-0.4577609847431323	0.5180682345630481	81.29860908584743	near	V4
4	5.0	ltm	493	diff_vonmises	-0.0198196164038477	-1.1355803715087316	1.9715630075046169	1.1852159538175413	0.0459093099219673	2.005950241100784	0.2720799970460574	-0.293018763184348	0.5650987602304055	95.2757675229118	near	V3ab
5	6.0	ltm	493	diff_vonmises	0.4874889214676932	27.931057759483256	0.7148489442278704	145.84591116983003	0.7039159084911156	146.42949976477144	0.1375411958694385	-0.1916903244485244	0.329231520317963	103.07915917054116	near	IPS0
6	7.0	ltm	493	diff_vonmises	0.0752571208130548	4.311915400894187	1.0569451385193502	2.12603119552239	0.3214274284298524	3.360856089649342	0.0303382724687157	-0.2920739435869514	0.3224122160556671	101.5881719687753	near	LO1
0	1.0	ltm	494	diff_vonmises	2.2751629885734045e-05	0.0013035723694962	1.3335272946089072	0.4626018669059953	2.8342146491340748e-11	2.75220363932942	-0.2513476802240376	-0.4250607339250875	0.1737130537010499	115.91096219877798	near	V1
1	2.0	ltm	494	diff_vonmises	0.0522407755909548	2.9931759598517624	16.73897515123889	0.2851298042068876	0.1281141691450474	1.5448581119269291	0.183482514283766	-0.2649709080144837	0.4484534222982497	32.55149520136561	near	V2
2	3.0	ltm	494	diff_vonmises	0.1157014007661457	6.629201947651858	3.894040751810555	0.5436129629408596	0.5068784834630093	1.0396847543758765	0.1539711027870112	-0.1541258678237089	0.3080969706107202	60.993752902640495	near	V3
3	4.0	ltm	494	diff_vonmises	-0.05212299984399	-2.9864279066216803	1.0956348835546283	67.67977214868925	1.0580927185783533	69.245095305298	-0.0750606520112349	-0.3416032393912953	0.2665425873800604	73.81736351565601	near	V4
4	5.0	ltm	494	diff_vonmises	-0.0571557654384897	-3.2747841344651567	2.5140762717076885	0.7888011846486266	2.787626021079416e-15	1.5767957161001769	0.2154560129260589	-0.2478992440836599	0.4633552570097189	86.7492611703895	near	V3ab
5	6.0	ltm	494	diff_vonmises	0.2696898088389764	15.452087824163312	0.7983170874224492	117.5420471887258	0.7853262677572972	118.13149731576912	0.1142612009911374	-0.1766593620472836	0.290920563038421	96.6515848835608	near	IPS0
6	7.0	ltm	494	diff_vonmises	0.0450590668459028	2.581694359068085	1.172504517988569	184.59071955388248	1.158379155814324	185.81163911208992	0.0305387328789095	-0.2967505651585327	0.3272892980374422	74.61721410439986	near	LO1
