	roi	task	ang_dist_bin	subj	0	vexpl	norm	0_norm	0_adj	1_adj	2_adj	3_adj	4_adj	5_adj	6_adj	7_adj	8_adj	9_adj	10_adj	11_adj	12_adj	13_adj	14_adj
333	7.0	ltm	20.0	131.125	0.22324975196190322	0.5567468038485331	1.2950576678621468	0.14798523196544006	0.19164940938720162	0.17769046246319872	0.2028443191244618	0.3456039453972287	0.3064804640649022	0.2131418899517181	0.05698851295321975	0.11293992265458877	0.09021799622516587	0.0690085006538801	0.1489773794155946	0.09529861752769848	0.10555429876138142	0.021104635011872847	0.11930054359383678
334	7.0	ltm	40.0	131.125	0.1474964513376139	0.5466599320866736	1.2950576678621468	0.092781808671684	0.12015779275838298	0.09185834718982891	0.15144820055982583	0.2916007612674151	0.20282517699668096	0.154350573646316	0.09140206153782912	0.03141287611729147	-0.007169832852528945	-0.014364654559233345	0.018487203628712336	-0.04654388178575591	-0.09219157724553388	-0.17642127041894703	-0.10139464169615975
335	7.0	ltm	60.0	131.125	0.21260598244130835	0.5679565962037817	1.2950576678621468	0.1058990890219899	0.1371454272575441	0.09735403887280807	0.07972500359862332	0.22787441065024894	0.1357060728628151	0.010422997581336867	-0.05406860096490613	-0.20143137722327667	-0.14856372683548927	-0.25864392437254446	-0.2340684546911074	-0.20999196900530784	-0.2309366917319171	-0.2607842178287957	-0.14627519488806076
336	7.0	ltm	80.0	131.125	0.19899357964107534	0.5508126708686594	1.2950576678621468	0.13147820282921163	0.17027185473070514	0.06497523167184546	0.031798863536248785	0.11147865201603495	0.040805423314962265	-0.12681984951634295	-0.10259320004398885	-0.14547155069296291	-0.20951581963131782	-0.27191214992827784	-0.25733827204872733	-0.3192254673523789	-0.22348562685805065	-0.27092380154239043	-0.1187258194175368
337	7.0	ltm	100.0	131.125	0.07296871661736762	0.5553657135651525	1.2950576678621468	0.0538338362310034	0.069717922401396	0.025694029851393532	0.05838360128685263	0.06294575742074779	-0.013976610787297323	-0.17551941258589343	-0.23279594477859428	-0.25843627358199067	-0.28177793224749526	-0.355241279104592	-0.3313894145506898	-0.32938974895441486	-0.31771551129842285	-0.338696956466567	-0.25885050254449066
338	7.0	ltm	120.0	131.125	0.16809825913200074	0.5594542730605823	1.2950576678621468	0.11879669006496867	0.15384856438528058	0.08983012955421046	0.12067089887152935	0.2131139060939392	0.04952143858354323	-0.005303184191078328	-0.19363330000196693	-0.12477031493094357	-0.15091173628031904	-0.20580240280078446	-0.28651580389052844	-0.295602747199885	-0.33201090477410705	-0.2600216920561509	-0.2145233701631169
339	7.0	ltm	140.0	131.125	0.18851697866187594	0.536738057815431	1.2950576678621468	0.11291056048804002	0.14622568714264897	0.1502174545384778	0.16415819517489166	0.25257303139292847	0.0909944160629304	0.068859420677137	-0.07037428120225364	-0.14558166483294968	-0.06042401622702975	-0.1668368258884753	-0.16807700632037656	-0.16930117779746395	-0.19032093581751375	-0.1265857453725838	-0.1542123109594455
340	7.0	ltm	160.0	131.125	0.3059996687837055	0.5586294590600263	1.2950576678621468	0.18806108298219576	0.2435499475425521	0.15448340877073818	0.24133005360435936	0.3607642233376952	0.19207621131425726	0.11203949024070374	-0.05935161785906847	-0.09557192234986273	-0.21326759267663725	-0.21550758574130968	-0.2601303648694344	-0.2564008821947971	-0.25378572543313793	-0.1954685098270344	-0.1786589203696992
341	7.0	ltm	180.0	131.125	0.16967267541921688	0.5626092065923258	1.2950576678621468	0.11235305043754204	0.14550367947684134	0.052264489816874586	0.23111037660681502	0.14266059838308354	0.04784002603233642	-0.11581177945154092	-0.12983855011625633	-0.31151525401922214	-0.36762349079264345	-0.32088689275315263	-0.32221374613347176	-0.34806456917376344	-0.39866864355971793	-0.3768700693229447	-0.28513706872028755
342	7.0	perception	-160.0	131.125	0.13862133329107987	0.5497069085891011	1.1887635346612517	0.10832389414749498	0.12877149529504742	0.008949584058427213	0.037842661966140126	0.07586181920784096	0.024041536069363406	-0.03254763166974062	-0.16918290320120735	-0.2843570303021184	-0.4021784877969399	-0.5183662387195132	-0.46715834437025466	-0.39038976704873524	-0.3299656319056716	-0.33777410005167113	-0.21135108016588738
343	7.0	perception	-140.0	131.125	0.1263680783311383	0.5588426025871541	1.1887635346612517	0.12815889627551605	0.1523506225347672	0.03568506774475115	0.07879427191199723	0.10098842892443874	0.011716395035871118	-0.1879891687562911	-0.3047216253935187	-0.4321041273563022	-0.5514662057699936	-0.5616808451128192	-0.5387853332244584	-0.463984605286814	-0.4113234201733485	-0.35918052887733215	-0.32954914919193395
344	7.0	perception	-120.0	131.125	0.03774547885776151	0.5631444920977907	1.1887635346612517	0.07763475151096152	0.09228936161871858	-0.04585282903511289	0.06358389856124476	0.08171395288649817	0.0013191500848729098	-0.18315001984279614	-0.24995817591104083	-0.29845750003477817	-0.31621564004608266	-0.36201509119976116	-0.5288681536974511	-0.5076080804125426	-0.44447093750088634	-0.42967088474824006	-0.3698294652569176
345	7.0	perception	-100.0	131.125	0.041384501664959106	0.5573897912268229	1.1887635346612517	0.09250143485613499	0.10996233266081655	-0.04290897483912761	0.017032917205202506	0.15157224685174428	0.0052174700138293345	-0.18318166904267985	-0.2624436509666232	-0.32918787325217186	-0.3682421517824077	-0.43505196261472906	-0.4113423717567385	-0.4171942540353065	-0.38447855449033924	-0.4094019030544498	-0.26724344555572244
346	7.0	perception	-80.0	131.125	-0.03191621573133324	0.557437532999647	1.1887635346612517	-0.00023031323458912178	-0.0002737879748294305	-0.08108581907115402	-0.055294494065605174	0.027821735171503086	-0.0719046372993734	-0.0802004808171354	-0.20082939006329598	-0.28957080803609136	-0.31056758167896814	-0.33473380682354803	-0.33918020770132407	-0.3660130790697734	-0.37443382432875244	-0.3367766766540686	-0.2229104290164091
347	7.0	perception	-60.0	131.125	0.11350076724743241	0.550136579666115	1.1887635346612517	0.09117870175854224	0.10838991578830877	-0.06878442861933735	-0.039836796012282634	0.10558448085777616	0.03784725741499539	-0.005137543091735242	-0.01773882010240964	-0.11290207679138628	-0.17157280729319138	-0.11702388282032868	-0.06790812997708846	-0.15067297929460804	-0.1558171052166297	-0.11396355955008573	-0.026907094287605998
