	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	0	diff_vonmises	-0.46899807034135554	-26.87161003033938	0.13450383083008483	5.8581870889636996	6.782238489930291e-07	7.772660842124738	-0.17527594963012838	-0.4257084525178383	0.2504325028877099	166.90671772206395
1	1.0	perception	0	diff_vonmises	-0.14112106307071487	-8.085641314351463	14.700920485851423	0.660453637243643	0.12718489531312865	2.6637330719096086	0.5218538724465667	-0.45312247111799997	0.9749763435645666	34.8017384828953
2	1.0	wm	0	diff_vonmises	-0.17027300248285368	-9.755924407288104	3.1225067775450865	0.629140205136798	0.14955697387828784	2.1731492686050506	0.022100182657047496	-0.3255027781978254	0.3476029608548729	70.75232356554042
3	2.0	ltm	0	diff_vonmises	-0.07834580760162203	-4.488884118116905	3.8215045724232235	0.5035742487002153	2.235378343559196e-19	1.8256334923260444	0.08700816860634197	-0.29037754484332	0.377385713449662	70.09161455051625
4	2.0	perception	0	diff_vonmises	0.008087007891339188	0.463351421062727	5.846215947790119	1.417813306354834	0.41423425384646384	2.759138039675531	0.6984817287133133	-0.45701436980264604	1.1554960985159592	52.49491973310202
5	2.0	wm	0	diff_vonmises	0.4548812856139152	26.062777845162312	3.520844832318857	0.49073786832423766	2.89957169272587e-13	1.4864248831892588	0.1151362532528076	-0.23626424578215013	0.35140049903495774	73.0728873488093
6	3.0	ltm	0	diff_vonmises	-0.20136559535936988	-11.53739875323101	2.576805227328001	1.2215822063779411	0.5081678351909935	2.3576613586790818	0.14745691098802227	-0.298407173295533	0.4458640842835553	70.30704825107901
7	3.0	perception	0	diff_vonmises	-0.0822486096819967	-4.71249820559725	3.5585109953437386	2.3370897592730047	0.34212204889261477	3.7100702076583754	0.8772848111608234	-0.5261433655507757	1.403428176711599	66.62427139022617
8	3.0	wm	0	diff_vonmises	0.2587583700722121	14.825762518822023	0.7358879178031823	79.32000098886753	0.7115645972238221	79.68168363607714	0.2643413865067181	-0.20179820708692464	0.46613959359364276	106.01222650461003
9	4.0	ltm	0	diff_vonmises	-0.3329773233541338	-19.078195301754768	5.756942429087499	0.5574206202059293	0.24010019454400136	2.326083847061088	0.05689567316947308	-0.3852502330619593	0.4421459062314324	52.37143619225316
10	4.0	perception	0	diff_vonmises	-0.126171098677804	-7.22907145076681	0.9697118902699493	472.3609194033604	0.9568246642161536	474.33460235083794	0.49665993274166453	-0.6169712166921926	1.113631149433857	88.20127896974157
11	4.0	wm	0	diff_vonmises	-0.5696192325685214	-32.636777955657166	1.0829055509953882	211.29218970624154	1.0703884515968383	212.90368181669018	-0.075556744832042	-0.35209991672209284	0.27654317189005084	73.90134656562786
12	5.0	ltm	0	diff_vonmises	-0.2376903236322459	-13.618652375226342	1.0622255126580937	122.83857879441778	1.0400688004680876	123.56019249811386	0.26029556761015726	-0.25234611369777404	0.5126416813079313	85.54554977476056
13	5.0	perception	0	diff_vonmises	-0.09052645681569138	-5.186783909812422	1.3723039741880239	6.717633693507738	0.6780961185625971	7.675842187527289	0.6055440322577801	-0.42923221719257265	1.0347762494503527	89.07069326867997
14	5.0	wm	0	diff_vonmises	-0.1583317977576948	-9.071743774234823	0.5344242484015893	121.32081055862321	0.5192805710818709	121.74334522250915	0.23896630053788215	-0.2397836647312026	0.47874996526908475	122.13926353630872
15	6.0	ltm	0	diff_vonmises	-0.38407642859505475	-22.005958368954364	0.8042169915923	92.18541898868392	0.781234017189392	93.20586238464801	0.09841584209825172	-0.26472287205408485	0.36313871415233656	94.18177493166216
16	6.0	perception	0	diff_vonmises	0.0016971898036484442	0.09724181278169274	0.5665488863404027	144.7687393632978	0.5498624805572594	145.85246738641098	0.1776018999878204	-0.3510038773717614	0.5286057773595818	115.19097894638513
17	6.0	wm	0	diff_vonmises	0.34158583049765523	19.571426428986765	0.00016275517347889327	4387.376999439218	1.0416626957889918e-30	4388.344891166583	-0.04039580829817169	-0.26768444995320806	0.22728864165503637	176.33864106333004
18	7.0	ltm	0	diff_vonmises	-0.145548322786817	-8.339304610892404	1.1299642225968056	206.48366961444566	1.1135920801700703	208.05890169712717	0.05927600326650406	-0.3845155390288788	0.44379154229538287	76.60731173634113
19	7.0	perception	0	diff_vonmises	-0.3663574008210873	-20.990732860430942	0.7625663529313614	276.2087005684188	0.747062230124544	277.92491726167145	0.31380878302044835	-0.5123516075557966	0.8261603905762449	98.86042736510379
20	7.0	wm	0	diff_vonmises	0.5352510868901056	30.667628258593158	1.5667233641429652	68.13126845712377	1.5216579811616955	69.07562466144701	0.1194772279970131	-0.2835663085669111	0.4030435365639242	66.85292857593811
0	1.0	ltm	1	diff_vonmises	-0.27521938637831367	-15.768909279657672	0.0005796223232255428	1652.8350834393	1.0795853407254815e-23	1654.980618400437	-0.1889780092844262	-0.4939227928764467	0.3049447835920205	177.8120151750022
1	1.0	perception	1	diff_vonmises	-0.10837332811982774	-6.209334313052574	9.19213600758782	1.031951852223794	0.23890492826328302	3.227692679383549	0.5870909580921787	-0.558519824296771	1.1456107823889496	43.11921079420131
2	1.0	wm	1	diff_vonmises	-0.09822080905632119	-5.627637819287538	3.0906173674907444	0.6191608320797372	0.09273555419270453	2.4106522635746064	-0.007626612947766842	-0.3657672163828857	0.35814060343511883	72.75986790536192
3	2.0	ltm	1	diff_vonmises	-0.07836774484003048	-4.490141029291881	2.9542849484281724	0.4886286636200897	3.3500976620927006e-19	1.9626918218240412	0.00483198279614927	-0.3115103709364211	0.31634235373257036	79.96363732940085
