	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
0	1.0	ltm	diff_vonmises	-0.0606576181311032	-3.475425514228439	5.964521373996533	0.2695177882552955	0.0018762855148411	2.7131581067866364	-0.1760925522412688	-0.4314618329061282	0.2553692806648594	55.65062728764093	near	V1
1	1.0	perception	diff_vonmises	0.0163030764610112	0.9340974742950238	13.93224317917713	0.6030463737898872	6.396365014508068e-19	2.96349952337995	0.4179942966650149	-0.4716555979956905	0.8896498946607054	36.30156320926472	near	V1
2	1.0	wm	diff_vonmises	0.0431231261930389	2.4707731302711835	7.254737515484094	0.3268042626402322	2.3936391071561013e-25	3.1489809553866386	-0.1565832734128242	-0.5011757125121377	0.3445924390993135	50.51185877589759	near	V1
3	2.0	ltm	diff_vonmises	0.0925671844885607	5.30370899260339	5.392481395567231	0.6082057995183434	0.3416703733340451	1.76500059135533	0.1649355187324672	-0.291329127186853	0.4562646459193202	53.706423797966096	near	V2
4	2.0	perception	diff_vonmises	-0.0019759443229371	-0.113213270257134	6.991623653339154	1.214827226710784	0.2671824172816699	2.5786342400686024	0.7301732252459261	-0.4297938498687498	1.159967075114676	49.32997189164851	near	V2
5	2.0	wm	diff_vonmises	0.0879806311199092	5.040918842068152	3.431295390897604	0.6074410923614929	2.916873840442318e-11	2.0269238631896105	0.1065544204919656	-0.3221459752533661	0.4287003957453317	74.06381598782727	near	V2
6	3.0	ltm	diff_vonmises	0.0509819130468407	2.9210484490869204	3.3848485471062344	0.7980351449752333	0.6205645115689645	1.3030600313197271	0.2084139591900082	-0.1764594970789534	0.3848734562689616	63.77940649088978	near	V3
7	3.0	perception	diff_vonmises	-0.0307629255231795	-1.7625857979534658	4.575711311505122	1.6384145502257883	0.2663313420019262	2.188281493093761	0.9082132387100535	-0.3294292804423099	1.2376425191523637	60.96557275386701	near	V3
8	3.0	wm	diff_vonmises	-0.1095746290885049	-6.278163788482758	1.3984002307748018	173.17671889908752	1.3819694228759931	173.91065720347947	0.2062217934848433	-0.2448265904034201	0.4510483838882635	73.03390587335443	near	V3
9	4.0	ltm	diff_vonmises	-0.0789619507463294	-4.524186519884556	1.176996193052578	129.47358475097332	1.1524362288625989	130.81801202204971	0.0924614149517424	-0.3436283996655795	0.436089814617322	76.14850549155801	near	V4
10	4.0	perception	diff_vonmises	-0.0645739928243965	-3.6998172551459856	3.256104282542251	1.8972791566267784	0.0773014994864436	3.624625328487152	0.6792650048651715	-0.5448453941184559	1.2241103989836275	73.62782968785473	near	V4
11	4.0	wm	diff_vonmises	-0.1125382596970129	-6.447967314386051	1.0748221634051045	285.6464201920118	1.0620313343067718	287.4300588487538	0.056141215624919	-0.4272981604960719	0.4834393761209909	78.3503047619385	near	V4
12	5.0	ltm	diff_vonmises	-0.0545635985390692	-3.126263911334854	2.296657420357834	0.9220207963508178	9.684895239256511e-15	1.64449710729707	0.2550839325065764	-0.2565000127500671	0.5115839452566435	90.73219156090684	near	V3ab
13	5.0	perception	diff_vonmises	-0.0361179256216072	-2.069404702885513	1.815556863470863	2.434028602953364	0.1725809191724308	3.335727313670325	0.5578788967691275	-0.4139426383597404	0.971821535128868	93.99837915852572	near	V3ab
14	5.0	wm	diff_vonmises	-0.0010500662947802	-0.0601643668998463	0.4475665464883333	139.7178705827855	0.4339278627960278	140.60027096048267	0.1456314574319392	-0.3129263796913193	0.4585578371232586	127.9070360038394	near	V3ab
15	6.0	ltm	diff_vonmises	0.2724405576873949	15.609694123678166	0.7645794091130136	119.85110513992328	0.752392083461332	120.38110758721923	0.1227568368573699	-0.1693249516892194	0.2920817885465894	99.51241286231914	near	IPS0
16	6.0	perception	diff_vonmises	-0.1524101698711726	-8.732459488490129	0.7029071600940839	226.59604580700747	0.6912544955107103	227.3872066578457	0.2793886264004612	-0.3059000381647259	0.5852886645651871	105.5692036351486	near	IPS0
17	6.0	wm	diff_vonmises	0.1472577434513514	8.437247200382673	0.2700651480545245	122.242902788897	0.2581719634288727	122.85726208555224	0.1328669165178908	-0.271765857069413	0.4046327735873039	148.46309444038897	near	IPS0
18	7.0	ltm	diff_vonmises	-0.0186115021394136	-1.066360522987102	0.8392563192396371	135.68695045205894	0.8243681903943394	136.71074245332943	0.0700021608876326	-0.2531571693692491	0.3231593302568818	90.88368452256998	near	LO1
19	7.0	perception	diff_vonmises	-0.0878316157924959	-5.032380892724609	0.825174123319477	159.67366503417728	0.8005277956807143	160.4875197643049	0.5042491829607698	-0.3892643278854812	0.8935135108462511	99.52917654078752	near	LO1
20	7.0	wm	diff_vonmises	-0.0927650013182316	-5.31504306206019	0.9046334689143444	120.93302196731734	0.8881181998426215	121.87847656635616	0.077465647463967	-0.2379715863128844	0.3154372337768514	87.84244715586149	near	LO1
