	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	tr	roi_labels
0	6.0	perception	diff_vonmises	-0.02936630996081923	-1.6825656206279318	0.40852907510223696	209.05402401433093	0.39528494306695283	210.1355553448985	0.26226178183127047	-0.4505954438252253	0.7128572256564958	133.14704473944528	9	IPS0
0	6.0	perception	diff_vonmises	-0.004763016802311596	-0.2729007605223516	1.0530799367682628	2.3430016281670696	1.400634161740415e-17	3.3690038435636978	0.28789392379983714	-0.4358961141787045	0.7237900379785416	126.4047822212045	10	IPS0
0	6.0	perception	diff_vonmises	-0.05046769254505548	-2.8915857845955273	0.9036879656021504	2.729947260979676	1.730633605070844e-15	3.911524064043841	0.26039382034699854	-0.47766274828717215	0.7380565686341707	132.68440844037352	11	IPS0
0	6.0	perception	diff_vonmises	0.03188605267991082	1.826936243890698	1.0597723548313784	2.115847786975369	2.398550473990688e-16	3.1069402493816303	0.2523769055168302	-0.40479616804666985	0.6571730735635	126.11773675533937	12	IPS0
0	6.0	perception	diff_vonmises	0.004425229642220607	0.25354698187542807	1.0791666040029704	2.0061711003508633	4.0265946533432136e-15	2.9300503177538095	0.24912167881904157	-0.3836828225228445	0.6328045013418861	125.35388479753755	13	IPS0
0	6.0	perception	diff_vonmises	-0.06450855906769021	-3.6960681770490256	1.1894546489456497	2.0219130415664726	1.8723262301403558e-16	2.03086554484795	0.43940543852893743	-0.2525612629829142	0.6919667015118516	121.06834525032927	14	IPS0
0	6.0	wm	diff_vonmises	0.24204277935223692	13.8680297184994	0.13127147538392725	1.219369172092175	11.190111186347288	0.11030124208252502	0.20758134249439356	0.07486180507101547	0.13271953742337808	69.19019756096277	0	IPS0
0	6.0	wm	diff_vonmises	0.619034176921512	35.468045711957345	0.018575369694491035	0.29687260753796607	5.017410955890281	0.15569186900759047	0.046784861671676906	-0.08710340988482565	0.13388827155650257	43.16516522934077	1	IPS0
0	6.0	wm	diff_vonmises	-0.40211101429930507	-23.039264015074878	0.6436900031239914	1.5470663656067898	0.6437246484805528	0.9192954532200146	0.1719036015174854	0.04744900829011421	0.1244545932273712	142.74951659672476	2	IPS0
0	6.0	wm	diff_vonmises	-0.3234627599593855	-18.533050975326024	0.5732043596623256	2.2566824462049877	0.5732207656311034	0.7749327811177686	0.38597314714531117	0.12265975609952637	0.2633133910457848	146.90905585899424	3	IPS0
