	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm
0	1.0	ltm	diff_vonmises	0.06488782737953201	3.7177986506206127	1.2344283702623875	0.7864441458205654	0.060552907534849244	2.987296419672715	-0.20150477292101243	-0.4214258963397476	0.21992112341873515	109.0876725655462
1	1.0	perception	diff_vonmises	-0.05861150413112973	-3.3581918176273224	10.011276892096236	0.8947444201276211	0.026985939468065455	3.3780339166651934	0.5621653758511623	-0.5409831019411178	1.10314847779228	42.64160585675182
2	1.0	wm	diff_vonmises	0.06066966195311693	3.476115574399027	5.969652989008599	0.3287401241394128	0.014524839148793359	2.898442237859464	-0.15498526162915122	-0.4605345544188761	0.30554929278972487	55.000222624865984
3	2.0	ltm	diff_vonmises	0.06718991215601111	3.8496983923941825	1.234618762106688	2.192693066534462	0.4260570722168838	3.298736123640107	0.07669280024286429	-0.27330591654438874	0.34999871678725303	93.22041338358667
4	2.0	perception	diff_vonmises	-0.03754730565207454	-2.151302145951573	9.022693320236641	1.2196669676751568	0.23652678042785005	2.5148656684852657	0.9401129088857003	-0.42906639221845105	1.3691793011041513	43.98238622147284
5	2.0	wm	diff_vonmises	-0.0425332758148518	-2.4369771930568658	5.779301156331243	0.5484444248288182	0.13053505367375884	2.2496677324823264	0.10719864308068988	-0.361798105316866	0.4689967483975559	54.05644317810959
6	3.0	ltm	diff_vonmises	0.06640521292762863	3.804738438420694	1.0666922958161595	95.30627142603602	1.0454934350020473	95.92656865014972	0.16285002276182325	-0.19549952681243532	0.3583495495742586	84.2120061212124
7	3.0	perception	diff_vonmises	0.013697190246155528	0.784791192292469	3.0841887401318147	2.9282465055804665	0.5442128914324731	3.679327617788965	1.0099313761847561	-0.4556633173723867	1.465594693557143	69.18776306815786
8	3.0	wm	diff_vonmises	-0.016788361775409127	-0.9619022746697007	3.4149096073345375	0.6212291166810779	0.13361231633607848	1.7729687099684017	0.11664052306433809	-0.26698241987378135	0.38362294293811944	69.42690588260388
9	4.0	ltm	diff_vonmises	-0.1934638018620854	-11.08465933525269	1.8567688614373028	0.7005036823433076	1.0071903380648655e-16	2.1608647544387964	0.0015506255756146947	-0.3354860582949235	0.3370366838705382	100.39990051298538
10	4.0	perception	diff_vonmises	-0.005501080052034997	-0.31518866974521265	1.5073560485539617	5.942234136794818	0.5551823600807235	7.633641668497741	0.6189360365846577	-0.5901763511341652	1.209112387718823	87.71994323377487
11	4.0	wm	diff_vonmises	-0.23468950493893298	-13.446718129015549	0.8519714411174618	183.60110445379584	0.8326644827325329	185.67446085851648	0.03400406326376526	-0.47295860755877683	0.5069626708225421	88.03490697987522
12	5.0	ltm	diff_vonmises	-0.025278659071016465	-1.4483604765193379	1.9392988316751998	1.0143479742455286	0.19739438391087769	1.6889982169719482	0.18928128216912687	-0.21343054297391356	0.40271182514304044	89.04690260776971
13	5.0	perception	diff_vonmises	-0.0058529024382749945	-0.335346607614986	1.0409394771636118	64.22944274805695	0.9660157286647221	65.13739851636487	0.6055642870009095	-0.4216793951702522	1.0272436821711617	89.67143753172047
14	5.0	wm	diff_vonmises	0.025014363612212504	1.433217462185397	2.1499189826914784	1.1782971106453166	0.027153904092570222	2.138164596201151	0.2852755160244055	-0.32250572683265794	0.6077812428570635	92.28002559840121
15	6.0	ltm	diff_vonmises	-0.3006097260013593	-17.223668580461975	0.5280813801204616	133.12357319949018	0.5145334754897055	133.88987881163342	0.14699519021938556	-0.2679249489554021	0.41492013917478765	119.38248431549269
16	6.0	perception	diff_vonmises	0.19654105818813233	11.260973135215114	0.5724311581918095	4.043943800804207	6.396951906510183e-20	4.836462588549571	0.28306886398179976	-0.4346656511281202	0.7177345151099199	147.7961562768212
17	6.0	wm	diff_vonmises	-0.22166251162093495	-12.700326392149137	1.99157695271389	0.9835349267023028	2.633458627612369e-13	1.7428024671901674	0.22870894957520121	-0.2679483779767107	0.49665732755191194	97.14658795483804
18	7.0	ltm	diff_vonmises	0.18293935139206585	10.481652741626094	1.1025827575750344	146.1498416623941	1.086874273858545	147.06898147488056	0.10094329355791842	-0.243475580912623	0.3444188744705414	79.83499112451648
19	7.0	perception	diff_vonmises	-0.06676985030392832	-3.8256306211353897	2.131421839729434	1.665071336717136	5.49044536450637e-17	2.478117634518966	0.4981555201942179	-0.38183521170438683	0.8799907318986047	94.09790796646578
20	7.0	wm	diff_vonmises	0.35469848503320095	20.322726192086613	0.823270361647416	1.2189443631861612	0.06111942490325648	2.4095467001192756	-0.03174305748748796	-0.2880443859839947	0.2563013284965067	129.1430384264998
